TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,NAR,Narogas,NA,Namibia,ZA,South Africa,02044200,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,6720,192212,AFRICA
Imports,NAR,Narogas,NA,Namibia,ZA,South Africa,02061090,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02061090 - Other,27784.3,436088,AFRICA
Imports,NAR,Narogas,NA,Namibia,ZA,South Africa,02069000,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",23491,154675,AFRICA
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",27300,256612,AMERICA
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,133840,341215,AMERICA
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02071290,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,27000,106653,AMERICA
Imports,JSA,O.R. Tambo Int Airport,CL,Chile,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",19.5,2062,AMERICA
Imports,JHB,Johannesburg,AU,Australia,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",6557.48,80680,OCEANIA
Imports,GRB,Groblers Bridge,BW,Botswana,ZA,South Africa,02102010,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02102010 - Dried,254,1270,AFRICA
Imports,FBB,Ficksburg Bridge,LS,Lesotho,ZA,South Africa,02071420,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,119,18548,AFRICA
