TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,OSH,Oshoek,SZ,Eswatini,ZA,South Africa,02071220,KG,03,Road,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",36,1660,AFRICA
Imports,PEZ,Port Elizabeth,AR,Argentina,ZA,South Africa,02071210,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,308350,2475734,AMERICA
Imports,PEZ,Port Elizabeth,ES,Spain,ZA,South Africa,02071290,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,540341.04,9493623,EUROPE
Imports,PEZ,Port Elizabeth,ES,Spain,ZA,South Africa,02071493,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,149560,2336833,EUROPE
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02071220,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",52875,337046,AMERICA
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02072500,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072500 - Not Cut In Pieces, Frozen",51973.21,1556678,AMERICA
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02071429,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,13500,83682,AMERICA
Imports,PEZ,Port Elizabeth,AR,Argentina,ZA,South Africa,02071220,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",18000,107998,AMERICA
Imports,PEZ,Port Elizabeth,BR,Brazil,ZA,South Africa,02071415,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071415 - Other,27000,667231,AMERICA
Imports,PEZ,Port Elizabeth,GB,United Kingdom,ZA,South Africa,02064900,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,23530,234524,EUROPE
Imports,PEZ,Port Elizabeth,DE,Germany,ZA,South Africa,02032910,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,135000,6694636,EUROPE
Imports,PEZ,Port Elizabeth,IE,Ireland,ZA,South Africa,02071498,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,48160,971350,EUROPE
Imports,PEZ,Port Elizabeth,IE,Ireland,ZA,South Africa,02071493,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,252000,4169571,EUROPE
Imports,PEZ,Port Elizabeth,ES,Spain,ZA,South Africa,02071423,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071423 - Feet,25000,275976,EUROPE
Imports,PEZ,Port Elizabeth,FR,France,ZA,South Africa,02062200,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,25000,315301,EUROPE
Imports,PEZ,Port Elizabeth,GB,United Kingdom,ZA,South Africa,02062900,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,24780,215434,EUROPE
Imports,PEZ,Port Elizabeth,US,United States,ZA,South Africa,02071493,KG,01,Maritime,202009,2020,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,63960,627230,AMERICA
