TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,PEZ,Port Elizabeth,IE,Ireland,ZA,South Africa,02071423,KG,01,Maritime,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071423 - Feet,10008,57941,EUROPE
Imports,RAM,Ramatlabama,BW,Botswana,ZA,South Africa,02013090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02013090 - Other,2828,15639,AFRICA
Imports,RAM,Ramatlabama,BW,Botswana,ZA,South Africa,02023090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02023090 - Other,183542,4789788,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02042200,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02042200 - Other Cuts With Bone In,5411,363380,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02041000,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02041000 - Carcasses And Half-Carcasses Of Lamb, Fresh Or Chilled",900,384768,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02023090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02023090 - Other,53016.52,1805071,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02102012,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02102012 - Other,12438,1782557,AFRICA
Imports,PEZ,Port Elizabeth,NL,Netherlands,ZA,South Africa,02071498,KG,01,Maritime,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,27000,354038,EUROPE
Imports,PEZ,Port Elizabeth,NL,Netherlands,ZA,South Africa,02071495,KG,01,Maritime,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,35560,636916,EUROPE
Imports,PEZ,Port Elizabeth,NZ,New Zealand,ZA,South Africa,02069000,KG,01,Maritime,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",18950,114545,OCEANIA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02061090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02061090 - Other,21065.12,656674,AFRICA
Imports,SKH,Skilpadshek,BW,Botswana,ZA,South Africa,02023090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02023090 - Other,85596,2747632,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02013010,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02013010 - Wagyu beef,18678.44,599965,AFRICA
Imports,JSA,O.R. Tambo Int Airport,AU,Australia,ZA,South Africa,02023090,KG,04,Air,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02023090 - Other,41.6,8296,OCEANIA
Imports,SKH,Skilpadshek,NA,Namibia,ZA,South Africa,02013090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02013090 - Other,181,1000,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02022090,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02022090 - Other,139845.8,4775287,AFRICA
Imports,VLD,Vioolsdrif,NA,Namibia,ZA,South Africa,02062900,KG,03,Road,201511,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,3911.52,69838,AFRICA
Imports,DFM,Cape Town Int Airport,US,United States,ZA,South Africa,02102090,KG,04,Air,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02102090 - Other,0.2,117,AMERICA
Imports,DFM,Cape Town Int Airport,FR,France,ZA,South Africa,02089090,KG,04,Air,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02089090 - Other,40,4937,EUROPE
Imports,DFM,Cape Town Int Airport,AU,Australia,ZA,South Africa,02023090,KG,04,Air,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02023090 - Other,6886,325533,OCEANIA
Imports,DBN,Durban,UY,Uruguay,ZA,South Africa,02071493,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,54000,594862,AMERICA
Imports,DFM,Cape Town Int Airport,FR,France,ZA,South Africa,02074500,KG,04,Air,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02074500 - Other, Frozen",588.39,191020,EUROPE
Imports,DBN,Durban,UY,Uruguay,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,25000,73346,AMERICA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02069000,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",65788.5,633654,OCEANIA
Imports,DBN,Durban,NL,Netherlands,ZA,South Africa,02071495,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,25000,436637,EUROPE
Imports,DBN,Durban,UY,Uruguay,ZA,South Africa,02071220,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",77980,433035,AMERICA
Imports,DBN,Durban,UY,Uruguay,ZA,South Africa,02071421,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071421 - Livers,25000,132022,AMERICA
Imports,DBN,Durban,TH,Thailand,ZA,South Africa,02071210,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,499800,1612115,ASIA
Imports,DBN,Durban,US,United States,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,50621.42,326918,AMERICA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02062900,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,227263.04,2201217,OCEANIA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02062200,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,149596.58,1472158,OCEANIA
Imports,DBN,Durban,NL,Netherlands,ZA,South Africa,02032910,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,99977.42,4032439,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071495,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,50400,586025,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02062200,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,247891.94,2308221,EUROPE
Imports,DBN,Durban,IL,Israel,ZA,South Africa,02072500,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072500 - Not Cut In Pieces, Frozen",1200.71,67325,ASIA
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071425,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071425 - Heads,25000,248705,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071493,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,253400,4212681,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02071493,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,459840,5750733,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071290,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,235191,3483505,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,75,929,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071493,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,530000,8349433,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02032910,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,148080,4949432,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02072700,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",54000,976096,EUROPE
Imports,DBN,Durban,IL,Israel,ZA,South Africa,02071411,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071411 - Breasts,11134.87,819451,ASIA
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071498,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,25200,317250,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02062900,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,22481.5,320473,EUROPE
Imports,DBN,Durban,IL,Israel,ZA,South Africa,02072700,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",6240.95,425593,ASIA
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071421,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071421 - Livers,25000,121706,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02072700,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",24495,1368463,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02071220,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",107320,455338,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,65016,232177,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02032910,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,24270,956412,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071423,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071423 - Feet,65,805,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02071497,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071497 - Thighs,25000,392205,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02071498,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,138710,2192980,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02071495,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,400560,4712907,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02071415,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071415 - Other,25000,188798,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02064900,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,24980,185556,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071423,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071423 - Feet,251400,2015826,EUROPE
Imports,DBN,Durban,DK,Denmark,ZA,South Africa,02071495,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,135800,2114498,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02071495,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,221324,3435849,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02071423,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071423 - Feet,196060,1543601,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02064900,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,124061.4,1278553,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02032990,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,129812.2,3255919,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02101200,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02101200 - Bellies (Streaky) And Cuts Thereof,48464,1713921,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071498,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,25000,287783,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02032990,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,24991.1,581844,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02032910,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,318295.5,9856729,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,126000,562990,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02032910,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,273860,9219898,EUROPE
Imports,DBN,Durban,DK,Denmark,ZA,South Africa,02071493,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,621606,9088043,EUROPE
Imports,DBN,Durban,DK,Denmark,ZA,South Africa,02071499,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071499 - Other,26350,409266,EUROPE
Imports,DBN,Durban,HU,Hungary,ZA,South Africa,02074500,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02074500 - Other, Frozen",1000,73508,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071495,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,153000,2389195,EUROPE
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071411,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071411 - Breasts,405127.5,11487408,AMERICA
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,73635,580051,EUROPE
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02062200,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,628060.62,6037618,OCEANIA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,173000,470901,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071421,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071421 - Livers,179150,672359,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071429,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,79020,275146,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071421,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,02071421 - Livers,108720,558798,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071220,KG,01,Maritime,201502,2015,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",51996,202100,AMERICA
