TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071210,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,127850,530659,AMERICA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02069000,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",80357.84,828615,OCEANIA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071420,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,51000,245102,AMERICA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071420,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,76890,402470,AMERICA
Imports,CTN,Cape Town,BE,Belgium,ZA,South Africa,02064900,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,25000,292499,EUROPE
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02023000,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02023000 - Boneless,24506.45,1003235,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02044200,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,19702.31,468207,OCEANIA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071490,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,404579,5672496,EUROPE
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062100,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02062100 - Tongues,57120,647627,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02022000,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02022000 - Other Cuts With Bone In,25999.25,551249,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062900,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,53463.44,424497,OCEANIA
Imports,CTN,Cape Town,HU,Hungary,ZA,South Africa,02032910,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,25000,639742,EUROPE
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062200,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,9346.57,66693,OCEANIA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071410,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071410 - Boneless cuts,79488,2059314,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071290,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,178566,1711320,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071420,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,763550,5619785,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071490,KG,01,Maritime,201309,2013,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,607019,7079472,AMERICA
