TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071210,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,3443540.67,28201473,AMERICA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02072700,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",25000,649600,AMERICA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071421,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071421 - Livers,103480,556580,AMERICA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071493,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,209250,2912567,AMERICA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071498,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,54000,984540,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02064100,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02064100 - Livers,24964,122943,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02101900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02101900 - Other,111.46,19205,EUROPE
Imports,CTN,Cape Town,IE,Ireland,ZA,South Africa,02062900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,25475.94,276464,EUROPE
Imports,CTN,Cape Town,IE,Ireland,ZA,South Africa,02071493,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,230714,2990254,EUROPE
Imports,CTN,Cape Town,IE,Ireland,ZA,South Africa,02071497,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071497 - Thighs,50400,586306,EUROPE
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062100,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062100 - Tongues,77057.6,1095753,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062200,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,105537.73,939656,OCEANIA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071498,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,27000,421980,AMERICA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071210,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,53892,407236,EUROPE
Imports,CLP,Caledonspoort,LS,Lesotho,ZA,South Africa,02044200,KG,03,Road,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,60,60000,AFRICA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071429,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,81720,446910,AMERICA
Imports,CTN,Cape Town,IT,Italy,ZA,South Africa,02101900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02101900 - Other,5534.39,590516,EUROPE
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071210,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,25000,234464,AMERICA
Imports,CTN,Cape Town,CA,Canada,ZA,South Africa,02071498,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,158950,2220002,AMERICA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,72231.53,1147307,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02044200,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,13997.2,1093943,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02069000,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",97677.22,1047026,OCEANIA
Imports,CTN,Cape Town,FR,France,ZA,South Africa,02032910,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,50100,1474637,EUROPE
Imports,CTN,Cape Town,FR,France,ZA,South Africa,02064900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,49197,508687,EUROPE
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02032990,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,26000,757780,AMERICA
Imports,CTN,Cape Town,NL,Netherlands,ZA,South Africa,02064900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,51606,573371,EUROPE
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02064900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,27000,306424,AMERICA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071493,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,594575,8308895,AMERICA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071290,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,6000,88892,EUROPE
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02069000,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",38116,376492,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02072700,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",41520,796738,OCEANIA
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02062900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,24712.4,425045,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02071290,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,71028.8,1199807,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02071497,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071497 - Thighs,29040,354081,EUROPE
Imports,CTN,Cape Town,PL,Poland,ZA,South Africa,02071493,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,879550,12319686,EUROPE
Imports,CTN,Cape Town,TH,Thailand,ZA,South Africa,02071411,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071411 - Breasts,46200,1575760,ASIA
Imports,CTN,Cape Town,GB,United Kingdom,ZA,South Africa,02032910,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,146190,3381576,EUROPE
Imports,CTN,Cape Town,IE,Ireland,ZA,South Africa,02061090,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02061090 - Other,27376.62,478306,EUROPE
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02032990,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,26000,757780,AMERICA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071220,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",73628,492033,AMERICA
Imports,CTN,Cape Town,US,United States,ZA,South Africa,02071429,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,51045.96,474995,AMERICA
Imports,CTN,Cape Town,US,United States,ZA,South Africa,02062900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,46362.15,379915,AMERICA
Imports,CTN,Cape Town,CL,Chile,ZA,South Africa,02072700,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",59336,1143528,AMERICA
Imports,CTN,Cape Town,DE,Germany,ZA,South Africa,02032910,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,387878.5,8852550,EUROPE
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02062900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,126306.86,5085954,AMERICA
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02032990,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,50170.29,1909930,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02064900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,56832.44,724667,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02071493,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,97293.97,1302972,EUROPE
Imports,CTN,Cape Town,NZ,New Zealand,ZA,South Africa,02069000,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",28496.8,314192,OCEANIA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071411,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071411 - Breasts,25000,570527,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071421,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071421 - Livers,135030,706919,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071429,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,86365,422203,AMERICA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071411,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071411 - Breasts,457110,13031103,AMERICA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071415,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071415 - Other,138525.2,3726679,AMERICA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071495,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071495 - Wings,108600,1243466,EUROPE
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071497,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071497 - Thighs,134944,1776250,EUROPE
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02044300,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02044300 - Boneless,24860,557672,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02062200,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,465803.84,4196486,OCEANIA
Imports,CTN,Cape Town,GB,United Kingdom,ZA,South Africa,02062900,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,24000,210774,EUROPE
Imports,CTN,Cape Town,US,United States,ZA,South Africa,02072700,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",26304.09,567868,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071411,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071411 - Breasts,552792,15954265,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071429,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,1084890,4619472,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02072700,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",360467.5,6456792,AMERICA
Imports,CTN,Cape Town,IE,Ireland,ZA,South Africa,02071290,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,127450,1930580,EUROPE
Imports,DBN,Durban,CA,Canada,ZA,South Africa,02072700,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",337205.55,7031620,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071220,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",306246,1869695,AMERICA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02071429,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071429 - Other,7980,83585,OCEANIA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071210,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,14234427.98,107459170,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071220,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071220 - Carcasses (excluding necks and offal) with all cuts (e.g. thighs, wings, legs and breasts) removed",24000,44164,AMERICA
Imports,CTN,Cape Town,NZ,New Zealand,ZA,South Africa,02062200,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,65927.02,555583,OCEANIA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071491,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071491 - Whole bird cut in half,21000,182718,EUROPE
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02071493,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071493 - Leg quarters,410940,6335431,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02032910,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,120449.44,4083091,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02071498,KG,01,Maritime,201905,2019,1,1 - Live animals,02,02 - Meat and edible meat offal,02071498 - Drumsticks,46805.03,595992,EUROPE
